,clube_casa_id,clube_visitant_id,clube_casa_nome,clube_visitant_nome,placar_casa,placar_visitante,rodada
128,290,277,Goiás,Santos,-1.0,-1.0,13
129,282,267,Atlético-MG,Vasco,-1.0,-1.0,13
130,264,277,Corinthians,Santos,-1.0,-1.0,14
131,262,292,Flamengo,Sport,-1.0,-1.0,14
132,284,294,Grêmio,Coritiba,-1.0,-1.0,14
133,265,267,Bahia,Vasco,-1.0,-1.0,14
134,276,373,São Paulo,Atlético-GO,-1.0,-1.0,14
135,290,266,Goiás,Fluminense,-1.0,-1.0,14
136,263,275,Botafogo,Palmeiras,-1.0,-1.0,14
137,356,282,Fortaleza,Atlético-MG,-1.0,-1.0,14
138,293,354,Athlético-PR,Ceará,-1.0,-1.0,14
139,280,285,Bragantino,Internacional,-1.0,-1.0,14
140,267,262,Vasco,Flamengo,-1.0,-1.0,15
141,275,276,Palmeiras,São Paulo,-1.0,-1.0,15
142,294,356,Coritiba,Fortaleza,-1.0,-1.0,15
143,282,290,Atlético-MG,Goiás,-1.0,-1.0,15
144,266,265,Fluminense,Bahia,-1.0,-1.0,15
145,277,284,Santos,Grêmio,-1.0,-1.0,15
146,292,263,Sport,Botafogo,-1.0,-1.0,15
147,285,293,Internacional,Athlético-PR,-1.0,-1.0,15
148,354,264,Ceará,Corinthians,-1.0,-1.0,15
149,373,280,Atlético-GO,Bragantino,-1.0,-1.0,15
150,262,280,Flamengo,Bragantino,-1.0,-1.0,16
151,267,356,Vasco,Fortaleza,-1.0,-1.0,16
152,275,294,Palmeiras,Coritiba,-1.0,-1.0,16
153,277,373,Santos,Atlético-GO,-1.0,-1.0,16
154,282,266,Atlético-MG,Fluminense,-1.0,-1.0,16
155,284,263,Grêmio,Botafogo,-1.0,-1.0,16
156,292,285,Sport,Internacional,-1.0,-1.0,16
157,293,264,Athlético-PR,Corinthians,-1.0,-1.0,16
158,354,276,Ceará,São Paulo,-1.0,-1.0,16
159,290,265,Goiás,Bahia,-1.0,-1.0,16
160,266,354,Fluminense,Ceará,-1.0,-1.0,17
161,263,290,Botafogo,Goiás,-1.0,-1.0,17
162,276,284,São Paulo,Grêmio,-1.0,-1.0,17
163,280,292,Bragantino,Sport,-1.0,-1.0,17
164,264,262,Corinthians,Flamengo,-1.0,-1.0,17
